id,label_en,label_fr,label_ar,category,category_fr,category_ar
off-bar-6b7644,Sea bass,Bar,Cقاروص,Fish,Poisson,أسماك
off-oeufs-499011,Eggs,Œufs,بيض,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
egg-raw,"Egg, whole, raw","Œuf entier, cru","بيضة كاملة نيئة",Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
egg-cooked,"Egg, whole, cooked","Œuf entier, cuit","بيضة كاملة مطبوخة",Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
yogurt-plain,"Plain yogurt",Yaourt nature,زبادي طبيعي,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
cheese-white,Feta cheese,Feta,جبنة فيتا,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-24-lonchas-burger-4c7dce,24 Burger Slices,24 tranches burger,24 شريحة برغر,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-albane-lait-entier-uht-7a6f6d,Albane Whole UHT Milk,Albane Lait entier UHT,Albane حليب كامل UHT,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-almond-breeze-d00600,Almond Breeze,Almond Breeze,ألموند بريز,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-almond-breeze-calcio-a22b7a,Almond Breeze Calcium,Almond Breeze Calcium,ألموند بريز كالسيوم,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-alpen-vollmilchschokolade-a04f91,Alpen Milk Chocolate,Chocolat au lait Alpen,شوكولاتة ألبن بالحليب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-alpen-vollmilch-haselnuss-schokolade-2a169f,Alpen Milk Chocolate Hazelnut,Chocolat au lait Alpen noisettes,شوكولاتة ألبن بالحليب والبندق,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-alpine-milk-chocolate-with-hazelnuts-453ec1,Alpine Milk Chocolate with Hazelnuts,Chocolat au lait alpin aux noisettes,شوكولاتة حليب بالألبي مع البندق,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-alpro-soyadessert-vanilje-4stk-a-01f0ee,Alpro Soy Dessert Vanilla 4 pack,Dessert soja Alpro vanille x4,حلوى صويا ألبرو بالفانيليا 4 قطع,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-amande-243629,Almond,Amande,لوز,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-amande-chocolat-9546bf,Chocolate Almond,Amande chocolat,لوز بالشوكولاتة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-amande-intense-1872aa,Intense Almond,Amande intense,لوز مكثف,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-asiri-fraise-e4401a,Asiri Strawberry,Asiri fraise,أسيري فراولة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيضoff-assil-d2e781,assil,assil,assil,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-assil-vanille-7ff90c,Assil Vanilla,Assil vanille,أسيل فانيليا,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-avoine-c1b57c,Oats,Avoine,شوفان,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-avoine-boisson-biologique-8875e8,Organic Oat Drink,Boisson d’avoine bio,مشروب شوفان عضوي,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-avoine-haver-83e4aa,Oat Drink,Boisson d’avoine,مشروب شوفان,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-batido-de-chocolate-e21b4d,Chocolate Milkshake,Batido au chocolat,ميلك شيك بالشوكولاتة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-batido-de-fresa-b038b9,Strawberry Milkshake,Batido à la fraise,ميلك شيك بالفراولة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-bebida-de-soja-vivesoy-cl-sica-a8a313,Vivesoy Classic Soy Drink,Boisson soja Vivesoy classique,مشروب صويا فيفسوي كلاسيك,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-beurre-doux-a218f1,Unsalted Butter,Beurre doux,زبدة غير مملحة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-beurre-doux-bio-f0472a,Organic Unsalted Butter,Beurre doux bio,زبدة غير مملحة عضوية,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-beurre-doux-rouleau-82-mg-4db377,Unsalted Butter 82% Fat,Beurre doux rouleau 82% MG,زبدة غير مملحة 82٪ دسم,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-beurre-frais-pasteuris-69a1e9,Fresh Pasteurized Butter,Beurre frais pasteurisé,زبدة طازجة مبسترة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-beurre-gastronomique-demi-sel-787b1a,Gourmet Semi-Salted Butter,Beurre gastronomique demi-sel,زبدة فاخرة نصف مملحة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-beurre-l-ger-doux-40-mg-b5a496,Light Unsalted Butter 40% Fat,Beurre léger doux 40% MG,زبدة خفيفة غير مملحة 40٪ دسم,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-beurre-moul-de-bretagne-doux-a19401,Brittany Moulded Unsalted Butter,Beurre moulé de Bretagne doux,زبدة بريتاني مشكلة غير مملحة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-beurre-pasteuris-cb3340,Pasteurized Butter,Beurre pasteurisé,زبدة مبسترة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-biscuit-tablette-e271bc,Chocolate Bar Biscuit,Biscuit tablette,بسكويت بالشوكولاتة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-biscuits-au-cacao-maigre-et-fourr-s-parfum-chocola-6cb1a8,Cocoa Biscuits with Chocolate Filling,Biscuits au cacao fourrés chocolat,بسكويت بالكاكاو محشو بالشوكولاتة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-biscuits-avec-tablette-de-chocolat-au-lait-e56232,Biscuits with Milk Chocolate Bar,Biscuits avec tablette de chocolat au lait,بسكويت مع لوح شوكولاتة بالحليب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-biscuits-d-gustation-chocolat-au-lait-21ef5a,Milk Chocolate Biscuits,Biscuits dégustation chocolat au lait,بسكويت شوكولاتة بالحليب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-biscuits-nappes-chocolat-au-lait-bio-2fa709,Organic Milk Chocolate Coated Biscuits,Biscuits nappés chocolat au lait bio,بسكويت مغطى بشوكولاتة الحليب عضوي,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-biscuits-napp-s-de-chocolat-lait-0b03b8,Milk Chocolate Coated Biscuits,Biscuits nappés de chocolat au lait,بسكويت مغطى بشوكولاتة الحليب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-bocage-8718f1,Bocage,Bocage,بوكاج,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-boisson-amande-14403f,Almond Drink,Boisson amande,مشروب لوز,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-boisson-au-soja-la-vanille-bio-casino-b63f75,Organic Vanilla Soy Drink Casino,Boisson soja vanille bio Casino,مشروب صويا بالفانيليا عضوي كازينو,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-boisson-avoine-476b53,Oat Drink,Boisson d’avoine,مشروب شوفان,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيضoff-boisson-de-soja-calcium-vitamine-d-a88263,Boisson de soja Calcium  Vitamine D,Boisson de soja Calcium  Vitamine D,Boisson de soja Calcium  Vitamine D,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-boisson-soja-datte-amande-df7d8c,Soy Drink Date Almond,Boisson soja datte amande,مشروب صويا بالتمر واللوز,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-boisson-soja-prot-ines-35eed9,High Protein Soy Drink,Boisson soja protéines+,مشروب صويا عالي البروتين,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-creamy-strawberry-2e4c32,Creamy Strawberry Yogurt,Yaourt crémeux fraise,زبادي كريمي بالفراولة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-boller-a-con-pepitas-de-chocolate-con-leche-0ea168,Milk Chocolate Chip Pastry,Viennoiserie aux pépites de chocolat au lait,معجنات برقائق شوكولاتة بالحليب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-brassie-fraise-efc006,Strawberry Stirred Yogurt,Yaourt brassé fraise,زبادي مخفوق بالفراولة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-brass-ananas-b10177,Pineapple Stirred Yogurt,Yaourt brassé ananas,زبادي مخفوق بالأناناس,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-bravo-crem-dad670,Bravo Cream Dessert,Crème dessert Bravo,حلوى كريمية برافو,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-break-chocolate-fingers-5db559,Chocolate Fingers Biscuits,Biscuits fingers chocolat,بسكويت أصابع بالشوكولاتة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-bridelight-12-portions-gout-emmental-3-mg-d5940e,Bridelight 12 Portions Emmental 3% Fat,Bridelight 12 portions goût emmental 3% MG,بريدلايت 12 حصة بنكهة إمنتال 3٪ دسم,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-bridelight-semi-paisse-d283e0,Bridelight Semi-Thick Cream,Bridelight crème semi-épaisse,بريدلايت كريمة نصف كثيفة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-brie-b6df66,Brie,Brie,جبن بري,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chocolat-au-lait-6ac723,Milk Chocolate,Chocolat au lait,شوكولاتة بالحليب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-brownie-edel-vollmilch-schokolade-3dec16,Milk Chocolate Brownie,Brownie chocolat au lait,براوني بشوكولاتة الحليب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-butter-unsalted-97d8e8,Unsalted Butter,Beurre doux,زبدة غير مملحة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-cacao-s-milka-363-12-01-23-antes-del-ver-arriba-ad0be9,Milka Cocoa Drink,Cacao Milka,مشروب كاكاو ميلكا,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-caffe-latte-cappuccino-30c2ea,Caffè Latte Cappuccino,Café latte cappuccino,كافيه لاتيه كابتشينو,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-camembert-021fc9,Camembert,Camembert Président,جبن كامامبير,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-camembert-21-mg-b9ee60,Camembert 21% Fat,Camembert 21% MG,جبن كامامبير 21٪ دسم,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-camembert-ile-de-france-bn-batouta-as-67b421,Camembert Île de France,Camembert Île de France,كامامبير إيل دو فرانس,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-camembert-le-ch-telain-207f4e,Camembert Le Châtelain,Camembert Le Châtelain,كامامبير لو شاتلان,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-cappuccino-91e259,Cappuccino,Cappuccino,كابتشينو,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-caprice-des-dieux-4f1a01,Caprice des Dieux,Caprice des Dieux,كابريس دي ديو,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-caramel-c0b0aa,Caramel,Caramel,كراميل,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-caramel-choc-49058c,Caramel Chocolate,Caramel chocolat,كراميل بالشوكولاتة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-carrefour-feta-cheese-d78317,Carrefour Feta Cheese,Feta Carrefour,جبنة فيتا كارفور,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيضoff-carrefour-french-soft-cheese-b25cc4,Carrefour French Soft Cheese,Cœur Complice doux et crémeux,جبنة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-carrefour-milk-chocolate-with-hazelnuts-and-raisin-b3d3c3,Carrefour Milk Chocolate with Hazelnuts and Raisins,Chocolat au lait Carrefour noisettes et raisins,شوكولاتة كارفور بالحليب مع البندق والزبيب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-centrale-523804,Centrale,Centrale,سنترال,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-cheddar-tranches-dc9380,Cheddar Slices,Tranches de cheddar,شرائح شيدر,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chergui-creme-fruit-de-bois-a10fff,Chergui Forest Fruit Cream,Crème Chergui fruits des bois,كريمة شرقي بفواكه الغابة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chergui-cr-me-de-cuisson-cbd624,Chergui Cooking Cream,Crème de cuisson Chergui,كريمة طبخ شرقي,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chergui-lait-a9eed2,Chergui Milk,Lait Chergui,حليب شرقي,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chevre-a-tartiner-nature-d78890,Plain Spreadable Goat Cheese,Chèvre à tartiner nature,جبن ماعز قابل للدهن طبيعي,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chevre-tartiner-ail-et-fines-herbes-92b9bd,Spreadable Goat Cheese Garlic Herbs,Chèvre à tartiner ail et fines herbes,جبن ماعز قابل للدهن بالثوم والأعشاب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-choco-biscuit-93dbbf,Chocolate Biscuit,Biscuit chocolat,بسكويت بالشوكولاتة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chocolat-au-lait-avec-gaufrettes-be9a6a,Milk Chocolate with Wafers,Chocolat au lait avec gaufrettes,شوكولاتة بالحليب مع ويفر,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chocolat-au-lait-noisettes-enti-res-9376ca,Milk Chocolate with Whole Hazelnuts,Chocolat au lait aux noisettes entières,شوكولاتة بالحليب مع بندق كامل,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chocolat-lait-noisette-bio-35946c,Organic Milk Chocolate Hazelnut,Chocolat au lait noisette bio,شوكولاتة بالحليب والبندق عضوية,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chocolat-raisins-noisettes-a0fc05,Chocolate Raisin Hazelnut,Chocolat raisins noisettes,شوكولاتة بالزبيب والبندق,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chocolat-sup-rieur-lait-pralin-nougatine-508fcf,Premium Milk Chocolate Praline Nougatine,Chocolat supérieur au lait praliné nougatine,شوكولاتة فاخرة بالحليب وبرالين نوغاتين,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chocolat-waffle-c2a3e8,Chocolate Wafer,Chocolat gaufrette,شوكولاتة ويفر,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chocolate-con-leche-9b4d8d,Milk Chocolate,Chocolat au lait,شوكولاتة بالحليب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chocolate-con-leche-con-avellanas-enteras-be7592,Milk Chocolate with Whole Hazelnuts,Chocolat au lait aux noisettes entières,شوكولاتة بالحليب مع بندق كامل,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chocolate-con-leche-fussion-relleno-de-avellanas-y-ef3ae7,Milk Chocolate Filled with Hazelnut and Wafer,Chocolat au lait fourré noisette et gaufrette,شوكولاتة بالحليب محشوة بالبندق والويفر,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chocolate-con-leche-oreo-c951e6,Milk Chocolate Oreo,Chocolat au lait Oreo,شوكولاتة بالحليب أوريو,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chocolate-extrafino-con-leche-con-almendras-entera-f340e9,Extra Fine Milk Chocolate with Whole Almonds,Chocolat extra-fin au lait aux amandes entières,شوكولاتة بالحليب الفاخر مع لوز كامل,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-chocolate-soy-beverage-5ae532,Chocolate Soy Drink,Boisson soja chocolat,مشروب صويا بالشوكولاتة,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-cioccolato-con-tenero-cuore-al-cacao-7d49c7,Chocolate with Soft Cocoa Center,Chocolat cœur fondant cacao,شوكولاتة بقلب كاكاو طري,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-coco-sans-sucres-e63831,Unsweetened Coconut,Coco sans sucres,جوز هند بدون سكر,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-coconut-milk-6ab72b,Coconut Milk,Lait de coco,حليب جوز الهند,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-coeur-de-lait-fe7143,Coeur de Lait,Cœur de lait,قلب الحليب,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
off-coeur-de-lion-brie-pointe-125gr-493188,Coeur de Lion Brie Wedge 125g,Cœur de Lion Brie pointe 125 g,كوير دو ليون بري 125غ,Dairy & Eggs,Produits laitiers & Œufs,ألبان وبيض
